delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.25,62,saci,0.912,0.936,0.888
0.25,62,vol_scaling,0.876,0.992,0.76
0.25,63,standard,0.948,0.944,0.952
0.25,63,saci,0.92,0.92,0.92
0.25,63,vol_scaling,0.892,1.0,0.784
0.25,64,standard,0.904,0.888,0.92
0.25,64,saci,0.904,0.904,0.904
0.25,64,vol_scaling,0.844,0.976,0.712
0.25,65,standard,0.924,0.88,0.968
0.25,65,saci,0.924,0.88,0.968
0.25,65,vol_scaling,0.84,0.984,0.696
0.25,66,standard,0.892,0.856,0.928
0.25,66,saci,0.888,0.848,0.928
0.25,66,vol_scaling,0.8,0.928,0.672
0.25,67,standard,0.904,0.904,0.904
0.25,67,saci,0.896,0.912,0.88
0.25,67,vol_scaling,0.852,0.968,0.736
0.25,68,standard,0.868,0.84,0.896
0.25,68,saci,0.864,0.832,0.896
0.25,68,vol_scaling,0.86,0.976,0.744
0.25,69,standard,0.944,0.92,0.968
0.25,69,saci,0.932,0.912,0.952
0.25,69,vol_scaling,0.852,0.968,0.736
0.25,70,standard,0.888,0.896,0.88
0.25,70,saci,0.888,0.912,0.864
0.25,70,vol_scaling,0.812,0.992,0.632
0.25,71,standard,0.892,0.904,0.88
0.25,71,saci,0.888,0.912,0.864
0.25,71,vol_scaling,0.744,0.968,0.52
0.25,72,standard,0.9,0.864,0.936
0.25,72,saci,0.9,0.888,0.912
0.25,72,vol_scaling,0.872,0.992,0.752
0.25,73,standard,0.92,0.904,0.936
0.25,73,saci,0.92,0.904,0.936
0.25,73,vol_scaling,0.82,0.968,0.672
0.25,74,standard,0.908,0.904,0.912
0.25,74,saci,0.872,0.856,0.888
0.25,74,vol_scaling,0.808,0.984,0.632
0.25,75,standard,0.904,0.888,0.92
0.25,75,saci,0.892,0.888,0.896
0.25,75,vol_scaling,0.828,0.976,0.68
0.25,76,standard,0.88,0.864,0.896
0.25,76,saci,0.884,0.904,0.864
0.25,76,vol_scaling,0.828,0.976,0.68
0.25,77,standard,0.924,0.904,0.944
0.25,77,saci,0.924,0.904,0.944
0.25,77,vol_scaling,0.824,0.952,0.696
0.25,78,standard,0.868,0.84,0.896
0.25,78,saci,0.852,0.824,0.88
0.25,78,vol_scaling,0.804,0.96,0.648
0.25,79,standard,0.92,0.896,0.944
0.25,79,saci,0.924,0.904,0.944
0.25,79,vol_scaling,0.828,0.968,0.688
0.25,80,standard,0.888,0.856,0.92
0.25,80,saci,0.892,0.864,0.92
0.25,80,vol_scaling,0.852,0.976,0.728
0.25,81,standard,0.896,0.864,0.928
0.25,81,saci,0.892,0.872,0.912
0.25,81,vol_scaling,0.84,0.984,0.696
