method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
cao,,0.25,high,1,1,0.615844744204292,MKT
cao,,0.25,medium,1,1,0.5279219880721183,MKT
cao,,0.25,medium,1,1,0.47371312484374034,MKT
cao,,0.25,medium,0,1,0.5174461853125949,MKT
cao,,0.25,medium,1,1,0.5225436304910874,MKT
cao,,0.25,high,1,1,0.5851710483056328,MKT
cao,,0.25,high,1,1,0.5561539491236668,MKT
cao,,0.25,high,1,2,0.5604445005353708,MKT
cao,,0.25,high,1,2,0.5484874157821733,MKT
cao,,0.5,high,1,1,0.7059764388044797,MKT
cao,,0.5,high,1,1,0.7111401128208492,MKT
cao,,0.5,high,1,1,0.6508947485997786,MKT
cao,,0.5,high,1,1,0.615844744204292,MKT
cao,,0.5,medium,1,1,0.5279219880721183,MKT
cao,,0.5,medium,1,1,0.47371312484374034,MKT
cao,,0.5,medium,0,0,0.5174461853125949,MKT
cao,,0.5,medium,1,1,0.5225436304910874,MKT
cao,,0.5,high,1,1,0.5851710483056328,MKT
cao,,0.5,high,1,1,0.5561539491236668,MKT
cao,,0.5,high,1,2,0.5604445005353708,MKT
cao,,0.5,high,1,2,0.5484874157821733,MKT
cao,,1.0,high,1,1,0.7059764388044797,MKT
cao,,1.0,high,1,1,0.7111401128208492,MKT
cao,,1.0,high,1,1,0.6508947485997786,MKT
cao,,1.0,high,1,1,0.615844744204292,MKT
cao,,1.0,medium,1,1,0.5279219880721183,MKT
cao,,1.0,medium,1,1,0.47371312484374034,MKT
cao,,1.0,medium,0,0,0.5174461853125949,MKT
cao,,1.0,medium,1,1,0.5225436304910874,MKT
cao,,1.0,high,1,1,0.5851710483056328,MKT
cao,,1.0,high,1,1,0.5561539491236668,MKT
cao,,1.0,high,1,2,0.5604445005353708,MKT
cao,,1.0,high,1,2,0.5484874157821733,MKT
cao,,2.0,high,1,1,0.7059764388044797,MKT
cao,,2.0,high,1,1,0.7111401128208492,MKT
cao,,2.0,high,1,1,0.6508947485997786,MKT
cao,,2.0,high,1,1,0.615844744204292,MKT
cao,,2.0,medium,0,0,0.5279219880721183,MKT
cao,,2.0,medium,1,2,0.47371312484374034,MKT
cao,,2.0,medium,1,2,0.5174461853125949,MKT
cao,,2.0,medium,1,1,0.5225436304910874,MKT
cao,,2.0,high,1,1,0.5851710483056328,MKT
cao,,2.0,high,1,1,0.5561539491236668,MKT
cao,,2.0,high,1,2,0.5604445005353708,MKT
cao,,2.0,high,0,1,0.5484874157821733,MKT
split,,,medium,1,1,0.5305303348851605,MKT
split,,,medium,1,1,0.5097961524883156,MKT
split,,,high,1,1,0.5644830672720795,MKT
split,,,high,1,1,0.6115887647830285,MKT
split,,,high,0,0,0.5591431296237244,MKT
split,,,medium,1,1,0.5426978284283691,MKT
split,,,medium,1,1,0.4860001619990698,MKT
